rental_year,rental_month,film_id,title,category_id,category_name,total_rentals,total_revenue,avg_rental_duration,replacement_cost,actor_count,rental_country,rental_city
2005,5,80,BLANKET BEVERLY,8,Family,1,2.99,2,21.99,4,Brazil,Águas Lindas de Goiás
2005,5,333,FREAKY POCUS,12,Music,1,2.99,4,16.99,5,Iran,Qomsheh
2005,5,373,GRADUATE LORD,3,Children,1,3.99,8,14.99,2,Sri Lanka,Jaffna
2005,5,535,LOVE SUICIDES,11,Horror,1,4.99,10,21.99,4,Azerbaijan,Baku
2005,5,450,IDOLS SNATCHERS,3,Children,1,6.99,9,29.99,8,Russian Federation,Jaroslavl
2005,5,613,MYSTIC TRUMAN,5,Comedy,1,0.99,3,19.99,4,Spain,Santiago de Compostela
2005,5,870,SWARM GOLD,11,Horror,1,1.99,5,12.99,6,United States,Salinas
2005,5,510,LAWLESS VISION,2,Animation,1,4.99,3,29.99,4,Indonesia,Ciomas
2005,5,565,MATRIX SNOWMAN,9,Foreign,1,4.99,3,9.99,3,Brazil,Poá
2005,5,396,HANGING DEEP,7,Drama,1,5.99,6,18.99,7,Pakistan,Okara
2005,5,971,WHALE BIKINI,9,Foreign,1,8.99,8,11.99,5,United Kingdom,Dundee
2005,5,347,GAMES BOWFINGER,16,Travel,1,4.99,5,17.99,8,Philippines,Tuguegarao
2005,5,499,KING EVOLUTION,8,Family,1,6.99,5,24.99,6,Azerbaijan,Sumqayit
2005,5,593,MONTEREY LABYRINTH,11,Horror,1,0.99,1,13.99,6,India,Uluberia
2005,5,670,PELICAN COMFORTS,6,Documentary,1,9.99,9,17.99,5,Mexico,San Felipe del Progreso
2005,5,86,BOOGIE AMELIE,12,Music,1,4.99,1,11.99,6,India,Miraj
2005,5,181,CONTACT ANONYMOUS,16,Travel,1,2.99,2,10.99,5,Mexico,Cuernavaca
2005,5,741,ROMAN PUNK,12,Music,1,0.99,6,28.99,2,South Africa,Kimberley
2005,5,422,HOLLOW JEOPARDY,14,Sci-Fi,1,4.99,6,25.99,2,Senegal,Ziguinchor
2005,5,770,SCISSORHANDS SLUMS,9,Foreign,1,2.99,2,13.99,5,Iran,Shahr-e Kord
2005,5,31,APACHE DIVINE,8,Family,1,4.99,1,16.99,4,Philippines,Cavite
